WavelengthLower, WavelengthUpper, RadiusRatio
0.392 0.4810 12375
0.555 0.6700 12521
0.836 0.9430 12298
1.121 1.1390 12033
1.139 1.1580 12107
1.158 1.1770 12122
1.177 1.1950 12149
1.195 1.2140 12116
1.214 1.2320 12113
1.232 1.2510 12143
1.251 1.2690 12070
1.269 1.2880 12036
1.288 1.3070 12033
1.307 1.3250 12035
1.325 1.3440 12118
1.344 1.3620 12201
1.362 1.3810 12193
1.381 1.3990 12138
1.399 1.4180 12118
1.418 1.4370 12156
1.437 1.4550 12164
1.455 1.4740 12167
1.474 1.4920 12088
1.492 1.5110 12160
1.511 1.5290 12101
1.529 1.5480 12053
1.548 1.5670 12123
1.567 1.5850 12057
1.585 1.6040 12030
1.604 1.6220 12071
1.622 1.6410 11954
