#    time      flux     flux_err 
    0.00000   0.99973   0.00097 
    0.01501   0.99943   0.00071 
    0.03002   1.00095   0.00072 
    0.04502   1.00053   0.00083 
    0.06003   1.00015   0.00069 
    0.07504   1.00062   0.00088 
    0.09005   0.99986   0.00064 
    0.10505   1.00168   0.00062 
    0.12006   1.00005   0.00073 
    0.13507   0.99984   0.00093 
    0.15008   0.99941   0.00066 
    0.16508   0.99996   0.00073 
    0.18009   1.00044   0.00065 
    0.19510   1.00104   0.00062 
    0.21011   0.99935   0.00069 
    0.22511   1.00080   0.00068 
    0.24012   0.99991   0.00073 
    0.25513   1.00040   0.00063 
    0.27014   1.00044   0.00085 
    0.28514   1.00022   0.00086 
    0.30015   0.99964   0.00088 
    0.31516   0.99893   0.00089 
    0.33017   0.99921   0.00099 
    0.34517   0.99903   0.00079 
    0.36018   0.99977   0.00088 
    0.37519   0.99950   0.00073 
    0.39020   0.99854   0.00070 
    0.40520   0.99933   0.00079 
    0.42021   1.00071   0.00096 
    0.43522   1.00140   0.00083 
    0.45023   1.00173   0.00076 
    0.46523   0.99855   0.00088 
    0.48024   1.00112   0.00089 
    0.49525   1.00167   0.00063 
    0.51026   1.00011   0.00073 
    0.52526   0.99950   0.00072 
    0.54027   0.99886   0.00066 
    0.55528   0.99986   0.00069 
    0.57029   1.00016   0.00094 
    0.58529   1.00088   0.00082 
    0.60030   1.00129   0.00094 
    0.61531   0.99849   0.00068 
    0.63032   0.99968   0.00067 
    0.64532   0.99969   0.00095 
    0.66033   1.00158   0.00090 
    0.67534   1.00097   0.00070 
    0.69035   0.99899   0.00060 
    0.70535   0.99969   0.00096 
    0.72036   0.99986   0.00067 
    0.73537   0.99924   0.00068 
    0.75038   1.00038   0.00074 
    0.76538   0.99971   0.00061 
    0.78039   0.99990   0.00076 
    0.79540   0.99944   0.00079 
    0.81041   1.00082   0.00074 
    0.82541   0.99932   0.00075 
    0.84042   0.99803   0.00097 
    0.85543   0.99885   0.00094 
    0.87044   0.99835   0.00085 
    0.88544   0.99944   0.00099 
    0.90045   0.99972   0.00084 
    0.91546   0.99896   0.00094 
    0.93047   0.99903   0.00061 
    0.94547   1.00061   0.00087 
    0.96048   1.00008   0.00072 
    0.97549   0.99985   0.00067 
    0.99050   1.00140   0.00082 
    1.00550   1.00074   0.00075 
    1.02051   1.00025   0.00071 
    1.03552   0.99883   0.00080 
    1.05053   1.00022   0.00064 
    1.06553   1.00025   0.00074 
    1.08054   1.00003   0.00064 
    1.09555   0.99793   0.00073 
    1.11056   0.99954   0.00089 
    1.12556   1.00017   0.00090 
    1.14057   0.99995   0.00090 
    1.15558   1.00035   0.00087 
    1.17059   0.99820   0.00092 
    1.18559   0.99989   0.00087 
    1.20060   1.00141   0.00087 
