#    time      flux     flux_err 
    3.58000   1.00002   0.00010 
    3.58008   1.00005   0.00012 
    3.58016   1.00004   0.00012 
    3.58024   0.99988   0.00008 
    3.58032   0.99989   0.00011 
    3.58040   1.00009   0.00012 
    3.58048   0.99991   0.00008 
    3.58056   0.99973   0.00008 
    3.58064   1.00014   0.00008 
    3.58072   1.00002   0.00010 
    3.58080   1.00009   0.00010 
    3.58088   0.99993   0.00011 
    3.58096   0.99998   0.00012 
    3.58104   1.00007   0.00011 
    3.58112   0.99991   0.00011 
    3.58120   0.99998   0.00012 
    3.58128   1.00001   0.00011 
    3.58136   1.00014   0.00012 
    3.58144   0.99989   0.00008 
    3.58152   1.00005   0.00010 
    3.58160   1.00019   0.00009 
    3.58168   1.00000   0.00009 
    3.58176   1.00000   0.00012 
    3.58184   0.99998   0.00009 
    3.58192   1.00013   0.00012 
    3.58200   0.99997   0.00010 
    3.58208   1.00008   0.00010 
    3.58216   0.99998   0.00008 
    3.58224   0.99999   0.00011 
    3.58232   0.99988   0.00012 
    3.58240   0.99990   0.00008 
    3.58248   0.99987   0.00009 
    3.58257   0.99995   0.00012 
    3.58265   0.99981   0.00011 
    3.58273   0.99996   0.00009 
    3.58281   1.00001   0.00010 
    3.58289   1.00013   0.00010 
    3.58297   1.00015   0.00012 
    3.58305   1.00007   0.00010 
    3.58313   1.00002   0.00011 
    3.58321   1.00010   0.00012 
    3.58329   1.00003   0.00012 
    3.58337   1.00005   0.00008 
    3.58345   1.00009   0.00008 
    3.58353   0.99990   0.00009 
    3.58361   1.00001   0.00009 
    3.58369   1.00004   0.00012 
    3.58377   1.00020   0.00011 
    3.58385   0.99996   0.00011 
    3.58393   1.00000   0.00010 
    3.58401   0.99999   0.00010 
    3.58409   0.99981   0.00010 
    3.58417   1.00008   0.00008 
    3.58425   0.99998   0.00009 
    3.58433   0.99996   0.00011 
    3.58441   1.00006   0.00012 
    3.58449   0.99997   0.00011 
    3.58457   1.00010   0.00012 
    3.58465   0.99999   0.00011 
    3.58473   1.00000   0.00010 
    3.58481   1.00004   0.00008 
    3.58489   1.00004   0.00009 
    3.58497   0.99988   0.00011 
    3.58505   0.99985   0.00010 
    3.58513   0.99994   0.00008 
    3.58521   0.99999   0.00011 
    3.58529   1.00008   0.00009 
    3.58537   1.00000   0.00010 
    3.58545   1.00004   0.00012 
    3.58553   1.00002   0.00012 
    3.58561   0.99987   0.00011 
    3.58569   1.00027   0.00011 
    3.58577   0.99999   0.00012 
    3.58585   1.00018   0.00011 
    3.58593   1.00001   0.00010 
    3.58601   1.00004   0.00009 
    3.58609   0.99999   0.00009 
    3.58617   1.00004   0.00008 
    3.58625   0.99989   0.00011 
    3.58633   0.99991   0.00012 
    3.58641   0.99999   0.00011 
    3.58649   1.00000   0.00012 
    3.58657   1.00000   0.00011 
    3.58665   1.00014   0.00008 
    3.58673   0.99982   0.00011 
    3.58681   0.99995   0.00008 
    3.58689   0.99978   0.00012 
    3.58697   1.00007   0.00011 
    3.58705   1.00008   0.00011 
    3.58713   1.00001   0.00008 
    3.58721   0.99999   0.00011 
    3.58729   1.00002   0.00008 
    3.58737   1.00010   0.00008 
    3.58745   0.99991   0.00009 
    3.58754   1.00009   0.00008 
    3.58762   0.99983   0.00009 
    3.58770   1.00002   0.00008 
    3.58778   0.99983   0.00008 
    3.58786   0.99998   0.00012 
    3.58794   1.00000   0.00009 
    3.58802   0.99988   0.00011 
    3.58810   1.00000   0.00011 
    3.58818   1.00016   0.00009 
    3.58826   0.99989   0.00009 
    3.58834   0.99996   0.00011 
    3.58842   1.00012   0.00011 
    3.58850   1.00007   0.00009 
    3.58858   1.00003   0.00008 
    3.58866   0.99994   0.00012 
    3.58874   0.99994   0.00010 
    3.58882   1.00010   0.00009 
