# JD, Flux, Uncertainty
2.457424770351128187e+06 1.007599025052209996e+00 6.365285060276058328e-05
2.457424772377058864e+06 1.007678012457178252e+00 6.366027995081739407e-05
2.457424774402238894e+06 1.007616301307476370e+00 6.366172826024904747e-05
2.457424776427798439e+06 1.007712593867259088e+00 6.367064161078344264e-05
2.457424778452990111e+06 1.007597877527137031e+00 6.367317467185331433e-05
2.457424780478909146e+06 1.007646209908888535e+00 6.367683455929302897e-05
2.457424782504098024e+06 1.007595879879582990e+00 6.367926914023629994e-05
2.457424784529648721e+06 1.007623827039763942e+00 6.367881772825824426e-05
2.457424786554837599e+06 1.007631681081375685e+00 6.368040437937490196e-05
2.457424788580759894e+06 1.007632111859852131e+00 6.367768876958988604e-05
2.457424790605947841e+06 1.007596044215222975e+00 6.368295745163246753e-05
2.457424792631499004e+06 1.007570444337654303e+00 6.367979083745438601e-05
2.457424794656687882e+06 1.007576638063250041e+00 6.367971722564940709e-05
2.457424796682609711e+06 1.007545506275388636e+00 6.368061175906037459e-05
2.457424798707798589e+06 1.007675552723100054e+00 6.368133506315273558e-05
2.457424800733358134e+06 1.007626227951791353e+00 6.368151025883422476e-05
2.457424836624467745e+06 9.932484294791396051e-01 6.321038520470810996e-05
2.457424838650018442e+06 9.929879790071871604e-01 6.320246669455443025e-05
2.457424840675207321e+06 9.928186041849588195e-01 6.320284371055929866e-05
2.457424842701129150e+06 9.926448488085252153e-01 6.319398493131157487e-05
2.457424844726318028e+06 9.925181784814425257e-01 6.319513453284854602e-05
2.457424846751868725e+06 9.923575539498331599e-01 6.319080464872114413e-05
2.457424848777057603e+06 9.922567572781180179e-01 6.318592231380279077e-05
2.457424850802988280e+06 9.921258245715248725e-01 6.317955720744274258e-05
2.457424852828167845e+06 9.921263958924012583e-01 6.318314260088736469e-05
2.457424854853727389e+06 9.919391362138559876e-01 6.317785800952809960e-05
2.457424856878907885e+06 9.918306764873577874e-01 6.317650639459449001e-05
2.457424858904839028e+06 9.918045780898451236e-01 6.317330648307626295e-05
2.457424860930018593e+06 9.917590931962969591e-01 6.317462545989202397e-05
2.457424862955578137e+06 9.916461195511805382e-01 6.316917717934894224e-05
2.457424864980757702e+06 9.916851718025009310e-01 6.316931940146194857e-05
2.457424867006688844e+06 9.915765322093160750e-01 6.317302315003829616e-05
2.457424902909278870e+06 9.917728195545052472e-01 6.315008415887963004e-05
2.457424904934467748e+06 9.917654282689372103e-01 6.315538876071940459e-05
2.457424906960390043e+06 9.918374054490973757e-01 6.316708091164077732e-05
2.457424908985577989e+06 9.919273631719796036e-01 6.316617144484494529e-05
2.457424911011129152e+06 9.918853105087249711e-01 6.316893526491397916e-05
2.457424913036318030e+06 9.919813418752992940e-01 6.317180547970499798e-05
2.457424915062239859e+06 9.920674655225185656e-01 6.317881854996505687e-05
2.457424917087428737e+06 9.922432081808751914e-01 6.317644518067871777e-05
2.457424919112988282e+06 9.922194303348468303e-01 6.318562653613324928e-05
2.457424921138167847e+06 9.924580454788348716e-01 6.318633374919866189e-05
2.457424923164098989e+06 9.924679311420971928e-01 6.319023528212572858e-05
2.457424925189279020e+06 9.927284809615121164e-01 6.319680938981800888e-05
2.457424927214839030e+06 9.930027875452371866e-01 6.320465016837950242e-05
2.457424931265949737e+06 9.941549064724132245e-01 6.324770418890373464e-05
2.457424933291129302e+06 9.962806680145182003e-01 6.331815289658203859e-05
2.457424971219650004e+06 1.007658263671712850e+00 6.365033854264048364e-05
2.457424973244838882e+06 1.007501491835411489e+00 6.365707373593782392e-05
2.457424975270390045e+06 1.007609155122440425e+00 6.365881672451883177e-05
2.457424977295577992e+06 1.007622932479501632e+00 6.366327742492769275e-05
2.457424979321500286e+06 1.007588047229865280e+00 6.366149743064354984e-05
2.457424981346689165e+06 1.007611448638533469e+00 6.365976966617166541e-05
2.457424983372239862e+06 1.007606524187167896e+00 6.366232199351052365e-05
2.457424985397428740e+06 1.007634495657419693e+00 6.366395143545486594e-05
2.457424987423359882e+06 1.007587816594759822e+00 6.366055097687950144e-05
2.457424989448539447e+06 1.007578990610342728e+00 6.366072103927957675e-05
2.457424991474098992e+06 1.007670278292707833e+00 6.367298743122057998e-05
2.457424993499279022e+06 1.007554761465945692e+00 6.366619977434682845e-05
2.457424995525209699e+06 1.007500134586610363e+00 6.365987893556642667e-05
2.457424997550390195e+06 1.007587839423503828e+00 6.366352010395923957e-05
2.457424999575949740e+06 1.007653322726906220e+00 6.366476630164946031e-05
