# JD, Flux, Uncertainty
2.457424770351129118e+06 1.007791345475602673e+00 2.982012621974177487e-04
2.457424772377058864e+06 1.008067290774689262e+00 2.982665387601750296e-04
2.457424774402238894e+06 1.007457300348052032e+00 2.981933673123570534e-04
2.457424776427798904e+06 1.007983672163123234e+00 2.982982101852038864e-04
2.457424778452988714e+06 1.007469279020499764e+00 2.982502226312166429e-04
2.457424780478909146e+06 1.007632158371238207e+00 2.982842731720342609e-04
2.457424782504098956e+06 1.007061384888942257e+00 2.982202419475526241e-04
2.457424784529648721e+06 1.007587252418279400e+00 2.982930787329747687e-04
2.457424786554838996e+06 1.007930060911071068e+00 2.983501985819829038e-04
2.457424788580758963e+06 1.007817090081239542e+00 2.983229593309103997e-04
2.457424790605948772e+06 1.007580002757985538e+00 2.983168481712243029e-04
2.457424792631499004e+06 1.008099860163855999e+00 2.983825062385492667e-04
2.457424794656688813e+06 1.007710332764240713e+00 2.983253568579536156e-04
2.457424796682608780e+06 1.007615652150552377e+00 2.983173402052891076e-04
2.457424798707799055e+06 1.007511459609801596e+00 2.982876223417513196e-04
2.457424800733359065e+06 1.007175258139427765e+00 2.982460636990672920e-04
2.457424836624469142e+06 9.933555953206595346e-01 2.961071510170336114e-04
2.457424838650018908e+06 9.931586830005354471e-01 2.960780094704862646e-04
2.457424840675208718e+06 9.924768276921933641e-01 2.960041570063600552e-04
2.457424842701129150e+06 9.927604005631955886e-01 2.960315572315994439e-04
2.457424844726318959e+06 9.927402609418636281e-01 2.960505456582483079e-04
2.457424846751868725e+06 9.925670113771859482e-01 2.960289715540313370e-04
2.457424848777059000e+06 9.926578606834387530e-01 2.960369588415659426e-04
2.457424850802988745e+06 9.919255832546058915e-01 2.959207536813852858e-04
2.457424852828168776e+06 9.925627441883206892e-01 2.960338870493257196e-04
2.457424854853728786e+06 9.920675447878759545e-01 2.959654081490042618e-04
2.457424856878908817e+06 9.918739427718110679e-01 2.959444788990024558e-04
2.457424858904839028e+06 9.915881851045823536e-01 2.958931907517558428e-04
2.457424860930019058e+06 9.919274084273815850e-01 2.959576237438762774e-04
2.457424862955579069e+06 9.915844008031319268e-01 2.958939114368579876e-04
2.457424864980759099e+06 9.909408459801227753e-01 2.957956333772666056e-04
2.457424867006688844e+06 9.919098746536978428e-01 2.959702036155762773e-04
2.457424902909278870e+06 9.916039288971351118e-01 2.957703638699910997e-04
2.457424904934469145e+06 9.920498659103403893e-01 2.958578419005815406e-04
2.457424906960389111e+06 9.914167093426061728e-01 2.958096764201444107e-04
2.457424908985578921e+06 9.919847236175532990e-01 2.958769870618832218e-04
2.457424911011129152e+06 9.921719749165508473e-01 2.959229057283656295e-04
2.457424913036318962e+06 9.920869090127836243e-01 2.959084096958928254e-04
2.457424915062238928e+06 9.925969755716644860e-01 2.960057890852992274e-04
2.457424917087428737e+06 9.921285322660319261e-01 2.959095903595278265e-04
2.457424919112988748e+06 9.927299982465518369e-01 2.960438106430889624e-04
2.457424921138168778e+06 9.920113974288062852e-01 2.959092535284377884e-04
2.457424923164098989e+06 9.923828976619748499e-01 2.959801812847622621e-04
2.457424925189279020e+06 9.925614002758123000e-01 2.960004081964362726e-04
2.457424927214839030e+06 9.927828430852545516e-01 2.960288856327421563e-04
2.457424931265948806e+06 9.944309206309220883e-01 2.963014499394467111e-04
2.457424933291128837e+06 9.966044763135085693e-01 2.966364660657940010e-04
2.457424971219649073e+06 1.007491154190613525e+00 2.980955303263312008e-04
2.457424973244838882e+06 1.007674634104468003e+00 2.981742951598474181e-04
2.457424975270389114e+06 1.007448173706311900e+00 2.981345065781609589e-04
2.457424977295578923e+06 1.007195122579099156e+00 2.981175918507745853e-04
2.457424979321498889e+06 1.007855102623593124e+00 2.982106636140620100e-04
2.457424981346689165e+06 1.007773008267150106e+00 2.981882898128602457e-04
2.457424983372238930e+06 1.007542796615301439e+00 2.981734152707752792e-04
2.457424985397428740e+06 1.007019153567334069e+00 2.981033137841073420e-04
2.457424987423358951e+06 1.007686693124527189e+00 2.981965801286941904e-04
2.457424989448538981e+06 1.007210602563523683e+00 2.981299451548477292e-04
2.457424991474098992e+06 1.007467223961201919e+00 2.982099144673870856e-04
2.457424993499279022e+06 1.006992232701371170e+00 2.981284107267868802e-04
2.457424995525208768e+06 1.007730203778662847e+00 2.982134295130000083e-04
2.457424997550388798e+06 1.007509018196809603e+00 2.981813453174631651e-04
2.457424999575948808e+06 1.007274757253331821e+00 2.981414390443925611e-04
